,DTP_1,DTS_1,GR_1,NPHI_1,RT_1,RHOB_1
3250,67.95939,126.38912,140.85115,0.19423212,28.835499,2.5265408
3251,64.48157,120.27481,106.15718,0.11973867,29.511871,2.5622015
3273,66.48857,111.80689,81.61224,0.06779812,21.468916,2.5024376
3283,66.38933,115.02342,77.53556,0.06249941,17.415857,2.517508
3299,66.96749,111.02938,86.78854,0.07948133,12.199284,2.5323055
3300,68.37155,112.695595,76.87245,0.09570268,10.426614,2.4913113
3313,69.295044,121.43914,77.68124,0.10188732,8.12905,2.5026846
3314,69.240425,116.25208,95.2414,0.10603715,10.089749,2.5503087
3315,70.873215,117.03501,90.70289,0.095241874,9.458343,2.51094
3382,66.006004,117.71152,144.11342,0.118195,15.249233,2.4989955
3383,65.8117,116.061386,140.08763,0.11951251,14.390933,2.4950213
3384,65.154335,112.4737,136.09074,0.10648213,12.69365,2.5106454
3385,64.99822,111.13386,138.14967,0.102955334,13.198585,2.525324
3386,65.46606,111.671455,140.06395,0.11006133,14.437858,2.5094182
3387,65.450935,110.79045,139.77448,0.11199,13.499429,2.497737
3388,64.72961,108.42866,139.39078,0.106070705,12.610351,2.510458
3389,65.67881,109.602234,136.85983,0.09205118,13.433372,2.5194175
3390,67.3817,113.790146,131.65405,0.09169563,15.045627,2.4964657
3391,67.709564,115.669334,130.4048,0.09765733,16.83725,2.469256
3392,65.79125,111.22851,135.2562,0.08886928,14.732432,2.5052488
3402,61.82154,112.382454,129.1702,0.075757146,17.244383,2.5482333
3403,63.446022,115.474464,140.39412,0.087088,20.477732,2.5612905
3404,65.669556,119.03949,151.09494,0.110002495,24.774672,2.5622425
3405,66.72968,120.625015,164.69075,0.13121529,23.975887,2.5953236
3406,66.58321,120.150986,159.09598,0.12667786,21.768831,2.5574276
3407,65.83193,117.477806,134.87378,0.098173745,18.969242,2.5113223
3408,65.01848,114.54174,141.65895,0.09789189,17.69433,2.529909
3410,64.00583,108.433395,147.36378,0.104316674,19.7138,2.5341315
3411,64.78976,108.78801,128.09148,0.08498124,17.2829,2.4738092
3412,65.92068,110.909,122.488884,0.075808115,18.730145,2.4767978
3413,66.368774,114.10726,127.618416,0.08318187,23.992533,2.4936066
3414,65.51476,115.854004,137.99646,0.097285,25.916529,2.5136948
3415,64.64667,115.35669,142.75233,0.10224687,24.513327,2.539599
3416,64.41619,114.09731,144.20627,0.10558857,22.131384,2.551395
3417,64.435425,113.31453,141.29335,0.106557496,20.528084,2.5316396
3418,63.97629,112.796005,142.93805,0.107756875,17.527313,2.5154212
3419,63.23564,112.42751,143.1039,0.10466062,15.233628,2.513453
3420,61.996365,111.97413,131.3589,0.085609294,13.469334,2.5354884
3421,60.22212,111.9156,128.62032,0.08758941,14.355058,2.5674078
3422,58.63323,112.68074,123.65639,0.09582438,17.699057,2.5730424
3424,64.21341,121.77698,114.35151,0.08517214,17.398684,2.6148129
3425,68.19493,128.04895,136.91174,0.113215886,18.843084,2.5860028
3426,70.2847,131.95526,153.99915,0.13558751,19.237486,2.5495312
3427,70.86822,133.56859,158.86722,0.13603933,15.469883,2.5252318
3428,71.382645,127.90232,160.27116,0.13907063,12.397901,2.527241
3429,66.94781,120.18563,143.3366,0.12616117,12.242971,2.5503283
3430,60.526474,114.2767,116.4632,0.09444466,11.857572,2.5790293
3432,66.007286,123.926125,110.8451,0.09752059,17.427715,2.6196775
3433,74.381775,128.09126,135.8085,0.13199611,21.279114,2.583526
3434,77.71389,129.71571,158.43912,0.17675713,20.0113,2.5068192
3435,70.22621,125.363495,141.10092,0.14917201,13.01415,2.5132382
3436,61.740944,120.31197,113.49774,0.09754294,7.8316283,2.5928488
3437,62.15233,121.50159,117.36337,0.089226685,9.852957,2.6399877
3438,65.43008,126.39916,140.70403,0.095241435,15.759049,2.627499
3439,69.23929,130.59413,152.297,0.12163237,18.811872,2.578804
3440,74.74708,133.88344,158.81206,0.1554912,18.571142,2.5633175
3441,76.71007,134.60678,163.00449,0.17640814,16.904116,2.5697474
3442,71.166794,131.8463,150.94267,0.15630858,14.57685,2.5907652
3443,68.26917,127.746796,142.80602,0.13153705,11.836771,2.586985
3444,69.108864,125.83916,147.67993,0.1398953,13.514257,2.5603106
3445,68.065285,128.17258,139.97243,0.13629626,16.69885,2.5727859
3446,71.182976,135.3579,140.6439,0.13701335,14.796202,2.5792098
3447,76.40509,141.24385,152.81174,0.15936118,16.385443,2.5698805
3448,78.451454,142.58054,157.11885,0.17697199,16.374166,2.5898404
3449,76.254555,137.43094,157.95985,0.17787667,11.7766,2.5865738
3450,70.81883,131.21597,148.39894,0.15552334,10.327515,2.6042356
3451,69.45798,128.23053,145.44087,0.1448306,10.724986,2.6364179
3452,69.59005,125.32432,150.25569,0.14679933,13.926734,2.6207416
3453,65.50158,122.5002,141.00162,0.13586469,15.456329,2.6124344
3454,64.67878,122.7325,131.37236,0.116336,14.638114,2.6574037
3455,69.51956,125.20244,141.7196,0.11894001,15.583134,2.653142
3456,70.12498,124.72699,154.97588,0.13422501,18.264482,2.6603763
3457,66.9809,122.75737,151.8627,0.11946294,15.978258,2.640152
3458,66.53048,122.284904,147.93074,0.11188601,13.977057,2.6031604
3459,68.094246,122.879524,153.93872,0.12972938,17.141932,2.6213071
3460,68.12408,123.41333,156.55473,0.13539377,18.627619,2.6149585
3461,68.216705,126.238464,154.53677,0.13636999,17.58497,2.615714
3462,68.93963,129.0348,148.22606,0.13857667,17.333572,2.628958
3463,72.00692,130.40633,147.54007,0.15317938,17.368685,2.6226099
3464,71.71047,129.14787,150.48965,0.15281294,15.803642,2.62679
3465,68.94509,126.4314,154.3371,0.14474471,13.229457,2.6330721
3466,67.17347,124.79717,149.49648,0.13322215,13.483383,2.6316636
3467,66.81096,126.39012,143.71489,0.13010688,15.022733,2.6351233
3468,67.20438,131.15388,143.12357,0.13646764,16.7836,2.6311464
3469,73.7761,139.53685,145.73239,0.14929354,17.503485,2.6310563
3470,79.53767,147.28304,154.68799,0.1770143,18.958868,2.62577
3471,78.40661,151.70416,158.93771,0.18175775,15.227302,2.6146312
3472,81.95404,152.08426,159.88293,0.1799906,9.821143,2.6152992
3473,85.22007,149.32208,164.68628,0.20704666,8.997283,2.6083272
3474,77.64268,148.54054,146.08955,0.18595201,8.141334,2.6284158
3475,75.89052,151.53053,143.49406,0.1541479,6.276471,2.6513119
3476,81.12787,155.61916,163.8816,0.16683707,7.2599287,2.632082
3477,82.95359,164.27977,181.95047,0.194424,8.851666,2.6001842
3478,87.8421,173.24979,176.20654,0.20550115,6.6698565,2.595831
3479,95.45108,175.99777,171.68942,0.22640498,5.606743,2.577924
3480,95.6224,172.90128,173.11363,0.24070574,5.129317,2.579673
3481,88.32414,165.05434,174.80196,0.23461531,4.089717,2.6039972
3482,79.8544,153.62292,170.36559,0.21936002,3.5435715,2.6075642
3483,73.47762,145.86594,154.0558,0.17779167,4.123786,2.6319501
3484,74.898636,142.93495,150.74562,0.15922643,5.4629836,2.644943
3485,75.43545,147.0803,155.37018,0.16735314,9.550529,2.63073
3486,73.83427,156.37842,145.34123,0.15144528,9.901229,2.638464
3487,83.24251,168.2802,155.73193,0.17278825,9.033,2.6249905
