,DTP_1,DTS_1,GR_1,MD_1,NPHI_1,RT_1,RHOB_1
0,,,,0.2,,,
1,,,,0.5,,,
2,,,,1,,,
3,,,,1.5,,,
4,,,,2,,,
5,,,,2.5,,,
6,,,,3,,,
7,,,,3.5,,,
8,,,,4,,,
9,,,,4.5,,,
10,,,,4.9999995,,,
11,,,,5.5,,,
12,,,,5.9999995,,,
13,,,,6.5,,,
14,,,,7,,,
15,,,,7.5,,,
16,,,,8,,,
17,,,,8.5,,,
18,,,,9,,,
19,,,,9.5,,,
20,,,,10,,,
21,,,,10.5,,,
22,,,,11,,,
23,,,,11.5,,,
24,,,,12,,,
25,,,,12.5,,,
26,,,,13,,,
27,,,,13.5,,,
28,,,,14,,,
29,,,,14.5,,,
30,,,,15,,,
31,,,,15.5,,,
32,,,,16,,,
33,,,,16.5,,,
34,,,,17.000002,,,
35,,,,17.5,,,
36,,,,18.000002,,,
37,,,,18.5,,,
38,,,,19.000002,,,
39,,,,19.5,,,
40,,,,20.000002,,,
41,,,,20.5,,,
42,,,,21.000002,,,
43,,,,21.5,,,
44,,,,22.000002,,,
45,,,,22.5,,,
46,,,,23.000002,,,
47,,,,23.5,,,
48,,,,24.000002,,,
49,,,,24.5,,,
50,,,,25.000002,,,
51,,,,25.5,,,
52,,,,26,,,
53,,,,26.5,,,
54,,,,27,,,
55,,,,27.5,,,
56,,,,28,,,
57,,,,28.5,,,
58,,,,29,,,
59,93.8032,,,29.552973,,,
60,93.80321,,,30.0878,,,
61,93.803215,,,30.489445,,,
62,93.803215,,,31.007524,,,
63,93.803215,,,31.485498,,,
64,93.803215,,63.537342,32.060078,,17.9449,2.3323379
65,93.803215,,63.4852,32.472984,,16.97292,2.3482578
66,93.420364,,60.440414,32.99633,,20.212366,2.3606637
67,92.14638,,56.53762,33.519737,,33.223812,2.3674407
68,92.10113,,55.895374,33.989243,,46.258686,2.3753605
69,92.95035,,56.04166,34.51253,,60.454082,2.3712866
70,93.413536,,54.946686,34.983063,,67.540794,2.353665
71,93.23738,,51.013382,35.50658,,70.22345,2.354958
72,93.47828,,49.935925,35.97539,,71.039345,2.3730378
73,94.14612,,52.63432,36.5,,72.05182,2.380975
74,93.35879,,53.822483,37.024612,,73.27525,2.3736727
75,92.89848,,52.676918,37.49342,,73.41821,2.3680978
76,93.28404,,51.504463,38.016945,,73.79421,2.3699753
77,92.47568,,50.108963,38.48747,,67.451515,2.3703787
78,90.23665,,49.659027,39.010757,,53.845158,2.3645508
79,89.29143,,52.349663,39.48026,,40.903046,2.35169
80,87.27571,,54.690224,40.003674,,25.103617,2.2978714
81,86.06446,,54.42333,40.52702,,18.174986,2.3198853
82,96.353355,,60.022274,40.996906,,13.897142,2.3492413
83,108.4635,,76.373,41.51946,,9.417367,2.3376067
84,102.91094,,78.93703,41.990402,,12.245101,2.3647318
85,95.90507,,66.698296,42.513863,,20.378042,2.359864
86,94.932014,,58.290688,42.983055,,27.2106,2.3430731
87,93.69988,,52.907364,43.506927,,33.48585,2.3543181
88,92.70683,,53.100014,43.977135,,43.6432,2.357845
89,92.81575,,49.135063,44.500694,,60.235405,2.3673491
90,90.34182,,46.733,44.9692,,74.43586,2.3768845
91,85.357735,,49.37811,45.494396,,84.59333,2.38462
92,87.892105,,57.622345,46.018425,,59.580296,2.4101017
93,97.450356,,69.20195,46.48754,,30.4808,2.4317234
94,103.97024,,78.2452,47.011017,,16.901217,2.4376283
95,101.13357,,75.764755,47.48186,,17.045752,2.4430318
96,95.90052,,67.6881,48.00457,,21.494516,2.426582
97,92.735466,,66.10823,48.474377,,24.801699,2.404406
98,91.523056,,62.85486,48.997746,,29.140902,2.3994174
99,92.20971,,58.992867,49.521137,,36.673496,2.396442
100,93.92934,,59.304462,49.990723,,42.282898,2.3726244
101,95.0421,,57.697563,50.513863,,50.8279,2.3506174
102,96.22049,,55.482666,50.984474,,56.410114,2.3438423
103,97.93855,,54.852245,51.507973,,49.209385,2.3229167
104,97.79673,,54.209885,51.976868,,39.860714,2.3085952
105,95.47043,,53.320377,52.501328,,34.7679,2.3130956
106,92.88292,,54.3887,53.026093,,38.964344,2.3206847
107,93.62738,,56.791847,53.494812,,62.80209,2.3291695
108,96.22283,,56.71413,54.018356,,97.97445,2.3246474
109,97.68453,,54.291954,54.488792,,105.22816,2.309704
110,97.665184,,55.170288,55.012234,,138.65796,2.32013
111,96.43371,,57.50257,55.48165,,132.54008,2.3333716
112,95.188835,,59.16885,56.00509,,76.73047,2.3470619
113,94.76816,,61.81948,56.52842,,72.84186,2.3506079
114,95.26372,,61.274303,56.998383,,100.0034,2.3485818
115,94.24303,,59.24817,57.520794,,173.83897,2.3363626
116,91.461235,,59.56363,57.991814,,185.30974,2.3224394
117,91.73394,,57.790413,58.51526,,112.25426,2.3253036
118,92.742134,,56.151707,58.984524,,142.18211,2.3374043
119,91.526794,,55.480515,59.50826,,264.2301,2.3406458
120,90.13384,,54.893,59.978546,,207.50061,2.3157842
121,89.89156,,55.243584,60.502098,,67.830666,2.3255181
122,90.880714,,57.13301,60.970673,,32.451626,2.3545916
123,93.474106,,61.950153,61.495728,,21.314432,2.3630798
124,94.48693,,64.388535,62.019897,,14.815901,2.3455634
125,93.01752,,61.842903,62.48894,,13.170514,2.3257642
126,92.768654,,57.2273,63.01242,,19.074968,2.3593183
127,93.668076,,56.150364,63.483196,,39.932602,2.3914263
128,95.22318,,57.72304,64.00604,,57.867245,2.3624132
129,100.59961,,59.973663,64.475784,,48.137474,2.3471045
130,104.63607,,61.918514,64.99915,,49.22005,2.356751
131,100.448425,,61.602093,65.52254,,236.65324,2.3760169
132,96.135796,,58.237278,65.992195,,757.2619,2.3626096
133,95.23831,,53.157448,66.5152,,1578.6685,2.339061
134,96.88513,,52.446438,66.98588,,1913.9977,2.357358
135,97.582756,,52.203957,67.509384,,1883.1716,2.3704855
136,97.571045,,51.13252,67.97834,,1404.6635,2.3665383
137,95.97398,,50.621964,68.50266,,535.1691,2.3521643
138,94.55363,,51.467552,69.02756,,168.01208,2.349324
139,95.765915,,53.06731,69.49622,,95.4021,2.3511167
140,99.67477,,57.29378,70.01976,,57.977936,2.3585122
141,101.90865,,60.132,70.490135,,36.74687,2.3600173
142,100.244736,,57.69917,71.0137,,33.50596,2.3641436
